DateTime,PlayersCount
8/27/2006 17:00,1801
8/27/2006 18:00,1524
8/27/2006 19:00,1396
8/27/2006 20:00,2029
8/27/2006 21:00,2230
8/27/2006 22:00,2256
8/27/2006 23:00,2231
9/4/2006 0:00,5214
9/4/2006 1:00,4344
9/4/2006 2:00,3358
9/4/2006 3:00,2334
9/4/2006 4:00,1502
9/4/2006 5:00,1070
9/4/2006 6:00,928
9/4/2006 7:00,1016
9/4/2006 8:00,1440
9/4/2006 9:00,2068
9/4/2006 10:00,2796
9/4/2006 11:00,3316
9/4/2006 12:00,3742
9/4/2006 13:00,4506
9/4/2006 14:00,4718
9/4/2006 15:00,4926
9/4/2006 16:00,4988
9/4/2006 17:00,3058
9/4/2006 18:00,3264
9/4/2006 19:00,4328
9/4/2006 20:00,4938
9/4/2006 21:00,5532
9/4/2006 22:00,5914
9/4/2006 23:00,5624
9/7/2006 0:00,2064
9/7/2006 1:00,1622
9/7/2006 2:00,1227
9/7/2006 3:00,766
9/7/2006 4:00,428
9/7/2006 5:00,252
9/7/2006 6:00,301
9/7/2006 7:00,411
9/7/2006 8:00,545
9/7/2006 9:00,823
9/7/2006 10:00,1000
9/7/2006 11:00,1253
9/7/2006 12:00,1301
9/7/2006 13:00,1467
9/7/2006 14:00,1647
9/7/2006 15:00,1796
9/7/2006 16:00,1708
9/7/2006 17:00,1598
9/7/2006 18:00,1452
9/7/2006 19:00,1706
9/7/2006 20:00,2148
9/7/2006 21:00,2398
9/7/2006 22:00,2490
9/7/2006 23:00,2343
9/17/2006 0:00,1847
9/17/2006 1:00,1285
9/17/2006 2:00,1143
9/17/2006 3:00,716
9/17/2006 4:00,485
9/17/2006 5:00,309
9/17/2006 6:00,258
9/17/2006 7:00,331
9/17/2006 8:00,458
9/17/2006 9:00,566
9/17/2006 10:00,886
9/17/2006 11:00,1013
9/17/2006 12:00,1185
9/17/2006 13:00,1442
9/17/2006 14:00,1633
9/17/2006 15:00,1683
9/17/2006 16:00,1757
9/17/2006 17:00,1593
9/17/2006 18:00,1411
9/17/2006 19:00,1608
9/17/2006 20:00,2033
9/17/2006 21:00,2212
9/17/2006 22:00,2256
9/17/2006 23:00,2100
9/24/2006 0:00,2046
9/24/2006 1:00,1579
9/24/2006 2:00,962
9/24/2006 3:00,538
9/24/2006 4:00,357
9/24/2006 5:00,237
9/24/2006 6:00,238
9/24/2006 7:00,247
9/24/2006 8:00,369
9/24/2006 9:00,534
9/24/2006 10:00,793
9/24/2006 11:00,952
9/24/2006 12:00,1049
9/24/2006 13:00,1227
9/24/2006 14:00,1405
9/24/2006 15:00,1454
9/24/2006 16:00,1482
9/24/2006 17:00,1381
9/24/2006 18:00,1246
9/24/2006 19:00,1468
9/24/2006 20:00,1925
9/24/2006 21:00,2030
9/24/2006 22:00,2129
9/24/2006 23:00,1656
10/9/2006 0:00,2113
10/9/2006 1:00,1652
10/9/2006 2:00,1155
10/9/2006 3:00,840
10/9/2006 4:00,548
10/9/2006 5:00,417
10/9/2006 6:00,286
10/9/2006 7:00,307
10/9/2006 8:00,402
10/9/2006 9:00,672
10/9/2006 10:00,928
10/9/2006 11:00,1186
10/9/2006 14:00,1020
10/9/2006 15:00,1602
10/9/2006 16:00,1708
10/9/2006 17:00,1744
10/9/2006 18:00,1570
10/9/2006 19:00,1696
10/9/2006 20:00,2024
10/9/2006 21:00,2316
10/9/2006 22:00,2359
10/9/2006 23:00,2045
10/12/2006 0:00,2881
10/12/2006 1:00,1851
10/12/2006 2:00,1450
10/12/2006 3:00,1020
10/12/2006 4:00,724
10/12/2006 5:00,516
10/12/2006 6:00,348
10/12/2006 7:00,504
10/12/2006 8:00,729
10/12/2006 9:00,1182
10/12/2006 10:00,1692
10/12/2006 11:00,1972
10/12/2006 12:00,2046
10/12/2006 13:00,2306
10/12/2006 14:00,2468
10/12/2006 15:00,2523
10/12/2006 16:00,2495
10/12/2006 17:00,2384
10/12/2006 18:00,2129
10/12/2006 19:00,2620
10/12/2006 20:00,3183
10/12/2006 21:00,3412
10/12/2006 22:00,3401
10/12/2006 23:00,3101
10/15/2006 0:00,1710
10/15/2006 1:00,1543
10/15/2006 2:00,1081
10/15/2006 3:00,735
10/15/2006 4:00,433
10/15/2006 5:00,257
10/15/2006 6:00,203
10/15/2006 7:00,264
10/15/2006 8:00,352
10/15/2006 9:00,509
10/15/2006 10:00,791
10/15/2006 11:00,1038
10/15/2006 12:00,994
10/15/2006 13:00,1229
10/15/2006 14:00,1400
